S2KTC001	E	HPC Module	8	0		S2KCP001	R		
S2KTC001	E	HPC Line ID	8	8		S2KCP002	T	0	S2KUPDC1
S2KTC001	E	HPC Pulse Duration	8	16		S2KCP003	R		
S2KTC002	E	RT Address	8	0		S2KCP004	R		
S2KTC002	E	RT Subaddress	8	8		S2KCP005	R		
S2KTC002	E	Control Word	16	16		S2KCP006	R		
S2KTC002	E	Data Word	16	32		S2KCP007	R		
S2KTC003	E	Output Line ID	8	0		S2KCP008	R		
S2KTC003	E	Pulse Duration	8	8		S2KCP009	R		
S2KTC004	E	Output Line ID	8	0		S2KCP008	R		
S2KTC004	E	Pulse Duration	8	8		S2KCP009	R		
S2KTC005	E	Housekeeping SID	8	0		S2KCP013	D		
S2KTC005	F	N HK Parameters	8	8		S2KCP015	R	1	
S2KTC005	E	HK Parameter ID	32	16		S2KCP016	R		
S2KTC006	E	Diagnostic SID	8	0		S2KCP014	D		
S2KTC006	E	Data Field Length	16	8		S2KCP017	R		
S2KTC006	F	N Diag Parameters	8	24		S2KCP018	R	1	
S2KTC006	E	Diag Parameter ID	32	32		S2KCP019	R		
S2KTC007	E	Housekeeping SID	8	0		S2KCP013	D		
S2KTC008	E	Diagnostic SID	8	0		S2KCP014	D		
S2KTC009	E	Housekeeping SID	8	0		S2KCP013	D		
S2KTC010	E	Housekeeping SID	8	0		S2KCP013	D		
S2KTC011	E	Diagnostic SID	8	0		S2KCP014	D		
S2KTC012	E	Diagnostic SID	8	0		S2KCP014	D		
S2KTC013	E	Housekeeping SID	8	0		S2KCP013	D		
S2KTC014	E	Diagnostic SID	8	0		S2KCP014	D		
S2KTC015	E	Housekeeping SID	8	0		S2KCP013	D		
S2KTC016	E	Diagnostic SID	8	0		S2KCP014	D		
S2KTC017	E	Housekeeping SID	8	0		S2KCP013	D		
S2KTC018	E	Diagnostic SID	8	0		S2KCP014	D		
S2KTC019	E	Housekeeping SID	8	0		S2KCP013	D		
S2KTC019	F	N HK Parameters	8	8		S2KCP015	R	1	
S2KTC019	E	HK Parameter ID	32	16		S2KCP016	R		
S2KTC020	E	Diagnostic SID	8	0		S2KCP014	D		
S2KTC020	F	N Diag Parameters	8	8		S2KCP018	R	1	
S2KTC020	E	Diag Parameter ID	32	16		S2KCP019	R		
S2KTC021	E	Housekeeping SID	8	0		S2KCP013	D		
S2KTC022	E	Diagnostic SID	8	0		S2KCP014	D		
S2KTC023	E	Reset Flag	8	0		S2KCP024	D		
S2KTC027	E	Parameter ID	32	0		S2KCP025	R		
S2KTC028	E	Parameter ID	32	0		S2KCP025	R		
S2KTC031	E	Report ID	16	0		S2KCP026	R		
S2KTC032	E	Report ID	16	0		S2KCP026	D		
S2KTC033	E	Memory ID	8	0		S2KCP027	D		
S2KTC033	A	Filler	8	8			R	0	
S2KTC033	E	Base	32	16		S2KCP029	R		
S2KTC033	E	Offset	16	48		S2KCP030	R		
S2KTC033	E	Number of Words	16	64	1	S2KCP031	R		
S2KTC033	E	Memory Load Data	0	80		S2KCP032	R		
S2KTC034	E	Memory ID	8	0		S2KCP027	D		
S2KTC034	A	Filler	8	8			R	0	
S2KTC034	E	Start Address	32	16		S2KCP033	R		
S2KTC034	E	Number of Words	16	48	1	S2KCP031	R		
S2KTC034	E	Memory Load Data	0	64		S2KCP032	R		
S2KTC035	E	Memory ID	8	0		S2KCP027	R		
S2KTC035	A	Filler	8	8			R	0	
S2KTC035	E	Base	32	16		S2KCP029	R		
S2KTC035	E	Offset	16	48		S2KCP030	R		
S2KTC035	E	Number of Words	16	64		S2KCP031	R		
S2KTC036	E	Memory ID	8	0		S2KCP027	D		
S2KTC036	A	Memory ID	8	8			R	0	
S2KTC036	E	Start Address	32	16		S2KCP033	R		
S2KTC036	E	Number of Words	16	48		S2KCP031	R		
S2KTC037	E	Memory ID	8	0		S2KCP027	D		
S2KTC037	A	Filler	8	8			R	0	
S2KTC037	E	Base	32	16		S2KCP029	R		
S2KTC037	E	Offset	16	48		S2KCP030	R		
S2KTC037	E	Number of Words	16	64		S2KCP031	R		
S2KTC038	E	Memory ID	8	0		S2KCP027	D		
S2KTC038	A	Filler	8	8			R	0	
S2KTC038	E	Start Address	32	16		S2KCP033	R		
S2KTC038	E	Number of Words	16	48		S2KCP031	R		
S2KTC039	E	Function ID	8	0		S2KCP034	D		
S2KTC039	E	Level	64	8		S2KCP089	R		
S2KTC039	E	Direction	8	72		S2KCP090	E	FORWARD	
S2KTC040	E	Rate	8	0		S2KCP035	T	100	S2KUPDC1
S2KTC041	E	Destination PID	8	0		S2KCP036	R		
S2KTC042	E	Destination PID	8	0		S2KCP036	R		
S2KTC044	E	Sub-schedule ID	16	0		S2KCP037	R		
S2KTC044	E	Time Tag	48	16		S2KCP038	R		
S2KTC044	E	TC Packet	0	64		S2KCP039	R		
S2KTC045	E	APID	16	0		S2KCP040	R		
S2KTC045	A	Filler	2	16			R	0	
S2KTC045	E	Sequence Count	14	18		S2KCP042	R		
S2KTC045	E	Number of Commands	16	32		S2KCP047	R		
S2KTC046	E	Range	16	0		S2KCP043	R		
S2KTC046	E	Time Tag 1	48	16		S2KCP044	R		
S2KTC046	E	Time Tag 2	48	64		S2KCP045	R		
S2KTC046	E	Sub-schedule ID	16	112		S2KCP037	R		
S2KTC046	E	APID	16	128		S2KCP040	R		
S2KTC047	E	Time Offset	48	0		S2KCP046	R		
S2KTC047	E	APID	16	48		S2KCP040	R		
S2KTC047	A	Filler	2	64			R	0	
S2KTC047	E	Sequence Count	14	66		S2KCP042	R		
S2KTC047	E	Number of Commands	16	80		S2KCP047	R		
S2KTC047	E	Time Offset	8	96		S2KCP312	R		
S2KTC047	E	Time Offset	16	104		S2KCP315	R		
