S2KTP202	1	E	INVALID	INVALID	S2KTP201	1
S2KTP204	1	S	ON		S2KTP201	1
S2KTP304	1	S	10	20	S2KTP201	1
S2KTP304	2	H	5	50	S2KTP201	1
S2KTP307	1	S	10	20		1
S2KTP308	1	C				1
S2KTP308	2	S	10	20	S2KTP201	1
S2KTP309	1	S	10	20	S2KTP201	1
S2KTP315	1	E	10	25	S2KUPDC1	0
S2KTP315	2	E	36	45	S2KUPDC1	1
S2KTP315	3	E	56	65	S2KUPDC1	2
S2KTP315	4	E	76	85	S2KUPDC1	3
S2KTP315	5	E	96	105	S2KUPDC1	4
S2KTP315	6	S	66	75	S2KUPDC1	5
S2KTP315	7	S	26	35	S2KUPDC1	6
S2KTP315	8	S	86	95	S2KUPDC1	7
S2KTP315	9	S	46	55	S2KUPDC1	8
S2KTP315	10	S	116	125	S2KUPDC1	9
S2KTP315	11	S	136	145	S2KUPDC1	10
S2KTP315	12	S	156	165	S2KUPDC1	11
S2KTP315	13	H	106	115	S2KUPDC1	12
S2KTP315	14	H	126	135	S2KUPDC1	13
S2KTP315	15	H	146	155	S2KUPDC1	14
S2KTP315	16	H	166	175	S2KUPDC1	15
S2KTP400	1	S	INVALID	INVALID	S2KTP316	48
S2KTP400	2	S	ON	ON	S2KTP316	47
S2KTP502	1	C				1
S2KTPC01	1	S	30	40		1
S2KTPC01	2	H	20	50		1
S2KTPC02	1	S	40	50		1
S2KTPC02	2	H	30	60		1
S2KUDC11	1	D	5	5	S2KUDC10	1
S2KUDC12	1	D	0	5	S2KUDC10	1
S2KUDC13	1	D	5	0	S2KUDC10	1
S2KUDC14	1	S	10	20	S2KUDC10	1
S2KUDC14	2	H	5	25	S2KUDC10	1
S2KUDC15	1	C			S2KUDC10	1
S2KUDC16	1	C			S2KUDC10	1
S2KUDC16	2	S	10	20	S2KUDC10	2
S2KUDC16	3	H	5	25	S2KUDC10	3
S2KUDC17	1	C			S2KUDC10	1
S2KUDC17	2	S	10	20	S2KUDC10	1
S2KUDC17	3	H	5	25	S2KUDC10	1
S2KUDC18	1	S	10	20	S2KUDC10	1
S2KUDC18	2	S	30	40	S2KUDC10	2
S2KUDC18	3	S	60	70	S2KUDC10	3
S2KUDC18	4	S	80	90	S2KUDC10	4
S2KUDC18	5	S	100	110	S2KUDC10	5
S2KUDC18	6	S	120	130	S2KUDC10	6
S2KUDC18	7	S	140	150	S2KUDC10	7
S2KUDC18	8	S	160	170	S2KUDC10	8
S2KUDC18	9	H	6	25	S2KUDC10	1
S2KUDC18	10	H	26	45	S2KUDC10	2
S2KUDC18	11	H	56	75	S2KUDC10	3
S2KUDC18	12	H	76	95	S2KUDC10	4
S2KUDC18	13	H	96	115	S2KUDC10	5
S2KUDC18	14	H	116	135	S2KUDC10	6
S2KUDC18	15	H	136	155	S2KUDC10	7
S2KUDC18	16	H	156	175	S2KUDC10	8
S2KUDC19	1	H	UNDEFINED		S2KUDC10	2
S2KUDC19	2	H	ON		S2KUDC10	2
S2KUDC19	3	H	TEST		S2KUDC10	2
S2KUDC19	4	S	TEST		S2KUDC10	1
S2KUDC20	1	H	OFF		S2KUDC10	2
S2KUDC20	2	H	ON		S2KUDC10	2
